target,gene,class,mechanism,family,group,organism
qnrVC1_T.1,qnrVC1/3,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRVC,qnrVC1_T,Aeromonas Ectopseudomonas Marinobacter Pseudomonas Ralstonia Shewanella Stutzerimonas Vibrio 
rmtA_NT,rmtA,Aminoglycosides,16S_rRNA_methyltransferases,RMTA,rmtA_NT,Pseudomonas
rmtB_NT,rmtB,Aminoglycosides,16S_rRNA_methyltransferases,RMTB,rmtB_NT,Acinetobacter Aeromonas Burkholderia Citrobacter Enterobacter Escherichia Klebsiella Morganella Proteus Providencia Pseudomonas Salmonella Shigella
rmtB_NT.1,rmtB1/4,Aminoglycosides,16S_rRNA_methyltransferases,RMTB,rmtB_NT,Citrobacter Enterobacter Escherichia Klebsiella Proteus Pseudomonas Salmonella
rmtC_NT,rmtC,Aminoglycosides,16S_rRNA_methyltransferases,RMTC,rmtC_NT,Acinetobacter Aeromonas Citrobacter Enterobacter Escherichia Klebsiella Morganella Proteus Providencia Pseudomonas Raoultella Salmonella Serratia Shigella Vibrio
rmtD_NT,rmtD,Aminoglycosides,16S_rRNA_methyltransferases,RMTD,rmtD_NT,Burkholderia Citrobacter Enterobacter Klebsiella Pseudomonas 
rmtE_NT,rmtE1/2,Aminoglycosides,16S_rRNA_methyltransferases,RMTE,rmtE_NT,Acinetobacter Enterobacter Escherichia Klebsiella Salmonella
sat2_NT,sat2,Nucleosides,Streptothricin_acetyltransferase,SAT,sat2_NT,Acinetobacter Aeromonas Campylobacter Citrobacter Enterobacter Escherichia Klebsiella Kluyvera_intermedia Moellerella Morganella Pluralibacter Proteus Providencia Pseudomonas Psychrobacter Salmonella Serratia Shigella Staphylococcus Vibrio Yersinia
sat3_NT,sat3,Nucleosides,Streptothricin_acetyltransferase,SAT,sat3_NT,Escherichia 
sat4_NT,sat4,Nucleosides,Streptothricin_acetyltransferase,SAT,sat4_NT,Acinetobacter Aliarcobacter Bacillus Bifidobacterium Campylobacter Claveliimonas Clostridioides Clostridium Enterobacter Enterococcus Escherichia Klebsiella Kurthia Listeria Mycobacterium Neisseria Pseudomonas Salmonella Staphylococcus Stenotrophomonas Streptococcus Vagococcus
satG_NT,aac(3)-Il,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3,satG_NT,Acinetobacter Citrobacter Enterobacter Escherichia Klebsiella Mannheimia Morganella Pasteurella Pseudomonas Shinella
smqnr1_NT,smqnr1,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRB,smqnr1_NT,Stenotrophomonas
sph_NT,aph(6)-Ic,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH6,sph_NT,Acinetobacter Aeromonas Agrobacterium Burkholderia Citrobacter Enterobacter Escherichia Klebsiella Pseudomonas Salmonella Serratia Shigella Sinorhizobium Stenotrophomonas Vibrio 
srmB_NT,srm(B),Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,SRMB,srmB_NT,Streptomyces
strB_or_aph6_NT,aph(6)-Id,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH6,strB_or_aph6_NT,Achromobacter Acinetobacter Actinobacillus Aeromonas Alcaligenes Avibacterium Bacillus Bacteroides Bordetella Burkholderia Campylobacter Citrobacter Clostridioides Comamonas Corynebacterium Cronobacter Edwardsiella Thiopseudomonas Elizabethkingia Enterobacter Enterococcus Escherichia Faecalibacterium Glaesserella Haemophilus Histophilus Kingella Klebsiella Kluyvera_intermedia Laribacter Leclercia Legionella Listeria Mannheimia Moraxella Morganella Mycobacterium Neisseria Oceanimonas Pasteurella Phocaeicola Photobacterium Pluralibacter Proteus Providencia Pseudomonas Raoultella Salmonella Serratia Shewanella Shigella Staphylococcus Stenotrophomonas Streptococcus Streptomyces Trueperella Vibrio Xanthomonas Yersinia 
strB_or_aph6_NT.1,aph(6)-Id,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH6,strB_or_aph6_NT,Achromobacter Acinetobacter Actinobacillus Aeromonas Alcaligenes Avibacterium Bacillus Bacteroides Bordetella Burkholderia Campylobacter Citrobacter Clostridioides Comamonas Corynebacterium Cronobacter Edwardsiella Elizabethkingia Enterobacter Enterococcus Escherichia Faecalibacterium Glaesserella Haemophilus Histophilus Kingella Klebsiella Kluyvera_intermedia Laribacter Leclercia Legionella Listeria Mannheimia Moraxella Morganella Mycobacterium Neisseria Oceanimonas Pasteurella Phocaeicola Photobacterium Pluralibacter Proteus Providencia Pseudomonas Raoultella Salmonella Serratia Shewanella Shigella Staphylococcus Stenotrophomonas Streptococcus Streptomyces Trueperella Vibrio Xanthomonas Yersinia 
sulIII_NT,sul3,Sulfonamides,Sulfonamide-resistant_dihydropteroate_synthases,SULIII,sulIII_NT,Acinetobacter Avibacterium Citrobacter Enterobacter Escherichia Klebsiella Kluyvera_intermedia Morganella Pasteurella Proteus Providencia Salmonella Serratia Shigella Stenotrophomonas Yersinia
tcr3_NT,tcr3,Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TCR3,tcr3_NT,Kitasatospora
