header,class,mechanism,group
blaBIC_T.2,betalactams,Class_A_betalactamases,BIC
blaBIC_T.3,betalactams,Class_A_betalactamases,BIC
blaBIC_T.4,betalactams,Class_A_betalactamases,BIC
blaBPS_T,betalactams,Class_A_betalactamases,PENI
blaBPS_T.1,betalactams,Class_A_betalactamases,PENI
blaBPS_T.2,betalactams,Class_A_betalactamases,PENI
blaBPS_T.3,betalactams,Class_A_betalactamases,PENI
blaBPS_T.4,betalactams,Class_A_betalactamases,PENI
blaCARB-5_T,betalactams,Class_A_betalactamases,CARB
blaCARB-5_T.1,betalactams,Class_A_betalactamases,CARB
blaCARB-5_T.2,betalactams,Class_A_betalactamases,CARB
blaCARB-5_T.3,betalactams,Class_A_betalactamases,CARB
blaCcrA_or_CfiA_T,betalactams,Class_B_betalactamases,CFIA
blaCcrA_or_CfiA_T.1,betalactams,Class_B_betalactamases,CCRA
blaCcrA_or_CfiA_T.2,betalactams,Class_B_betalactamases,CFIA
blaCFE_T,betalactams,Class_C_betalactamases,CFE
blaCFE_T.1,betalactams,Class_C_betalactamases,CFE
blaCFE_T.2,betalactams,Class_C_betalactamases,CFE
blaCFE_T.3,betalactams,Class_C_betalactamases,CFE
blaCFE_T.4,betalactams,Class_C_betalactamases,CFE
blaCGB-1_T,betalactams,Class_B_betalactamases,IND
blaCGB-1_T.1,betalactams,Class_B_betalactamases,IND
blaCGB-1_T.2,betalactams,Class_B_betalactamases,IND
blaCME_T,betalactams,Class_A_betalactamases,CME
blaCME_T.1,betalactams,Class_A_betalactamases,CME
blaCME_T.2,betalactams,Class_A_betalactamases,CME
blaCME_T.3,betalactams,Class_A_betalactamases,CME
blaCMY-1_T,betalactams,Class_C_betalactamases,CMY
blaCMY-1_T.1,betalactams,Class_C_betalactamases,CMY
blaCMY-1_T.2,betalactams,Class_C_betalactamases,CMY
blaCMY-1_T.3,betalactams,Class_C_betalactamases,CMY
blaCMY-1_T.4,betalactams,Class_C_betalactamases,CMY
blaCTX-M-13_T,betalactams,Class_A_betalactamases,CTX
blaCTX-M-13_T.1,betalactams,Class_A_betalactamases,CTX
blaCTX-M-13_T.2,betalactams,Class_A_betalactamases,CTX
blaCTX-M-15_T,betalactams,Class_A_betalactamases,CTX
blaCTX-M-15_T.1,betalactams,Class_A_betalactamases,CTX
blaCTX-M-15_T.2,betalactams,Class_A_betalactamases,CTX
blaCTX-M-15_T.3,betalactams,Class_A_betalactamases,CTX
blaCTX-M-2_T,betalactams,Class_A_betalactamases,CTX
blaCTX-M-2_T.1,betalactams,Class_A_betalactamases,CTX
blaCTX-M-2_T.2,betalactams,Class_A_betalactamases,CTX
blaCTX-M-25_T,betalactams,Class_A_betalactamases,CTX
blaCTX-M-25_T.1,betalactams,Class_A_betalactamases,CTX
blaCTX-M-25_T.2,betalactams,Class_A_betalactamases,CTX
blaCTX-M-25_T.3,betalactams,Class_A_betalactamases,CTX
blaCTX-M-3_T,betalactams,Class_A_betalactamases,CTX
blaCTX-M-3_T.1,betalactams,Class_A_betalactamases,CTX
blaCTX-M-3_T.2,betalactams,Class_A_betalactamases,CTX
blaCTX-M-32_T,betalactams,Class_A_betalactamases,CTX
blaCTX-M-32_T.1,betalactams,Class_A_betalactamases,CTX
blaCTX-M-32_T.2,betalactams,Class_A_betalactamases,CTX
blaCTX-M-8_T,betalactams,Class_A_betalactamases,CTX
blaCTX-M-8_T.1,betalactams,Class_A_betalactamases,CTX
blaCTX-M-8_T.2,betalactams,Class_A_betalactamases,CTX
blaCTX-M-8_T.3,betalactams,Class_A_betalactamases,CTX
blaCTX-M-9_T,betalactams,Class_A_betalactamases,CTX
blaCTX-M-9_T.1,betalactams,Class_A_betalactamases,CTX
blaCTX-M-9_T.2,betalactams,Class_A_betalactamases,CTX
blaDES_T,betalactams,Class_A_betalactamases,DES
blaDES_T.1,betalactams,Class_A_betalactamases,DES
blaDES_T.2,betalactams,Class_A_betalactamases,DES
blaDES_T.3,betalactams,Class_A_betalactamases,DES
blaDIM_T,betalactams,Class_B_betalactamases,DIM
blaDIM_T.1,betalactams,Class_B_betalactamases,DIM
blaDIM_T.2,betalactams,Class_B_betalactamases,DIM
blaDIM_T.3,betalactams,Class_B_betalactamases,DIM
blaEBR-1_T,betalactams,Class_B_betalactamases,EBR
blaEBR-1_T.1,betalactams,Class_B_betalactamases,EBR
blaERP_T,betalactams,Class_A_betalactamases,ERP
blaERP_T.1,betalactams,Class_A_betalactamases,ERP
